virus,host,interaction
PG-2021_41,Staphylococcus_equorum,Inf
PG-2021_41,Staphylococcus_fleuretti,Inf
PG-2021_41,Staphylococcus_haemolyticus,Inf
PG-2021_41,Staphylococcus_hominis,NoInf
PG-2021_41,Staphylococcus_hyicus,NoInf
PG-2021_41,Staphylococcus_kloosii,Inf
PG-2021_41,Staphylococcus_lentus,NoInf
PG-2021_41,Staphylococcus_lugdunensis,NoInf
PG-2021_41,Staphylococcus_nepalensis,NoInf
PG-2021_41,Staphylococcus_pasteuri,NoInf
PG-2021_41,Staphylococcus_pettenkoferi,NoInf
PG-2021_41,Staphylococcus_pseudintermedius,NoInf
PG-2021_41,Staphylococcus_saprophyticus,NoInf
